Title,Poet,text,ctext,Language
Agni Baran,"Kazi Nazrul Islam
","অগ্নি বারণ, অগ্নি বারণ,
আশা আঁকড়ে বসে আছি।
তুমি থাকো আমার প্রভাতের সূর্য,
তুমি থাকো আমার সঙ্গী, আমার মুক্তির গতি।

অগ্নির কোলে তুমি আমি উঠবো,
আমার আনন্দের উড়ে যাবে মেঘ।
অগ্নি, তুমি চিরন্তন, তুমি অবিনাশী,
তুমি বাংলার স্বাধীনতার চেতনা।

অগ্নি, অগ্নি, তোমার গন্ধে ভাসি,
আমার হৃদয় তোমার সুরে বাজে।
তুমি বাঁধছো আজ, তুমি ছাড়ছো কাল,
অগ্নি, তুমি চল, আমি তোমার সাথী।
","Invocation of Fire, Invocation of Fire,
I sit clinging to hope.
You remain the sun of my dawn,
You are my companion, my path to freedom.

In the embrace of fire, I will rise,
The clouds of my joy will float away.
Fire, you are eternal, you are indestructible,
You are the spirit of Bengal’s liberation.

Fire, oh fire, I float in your fragrance,
My heart beats to your melody.
You bind today, you release tomorrow,
Fire, you move, I am your companion.
",Bengali
Banglar Mukh,"Kazi Nazrul Islam
","বাংলার মুখ, বাংলার মুখ,
এতো কষ্ট, এতো দুখ।
এত অশ্রু, এত কান্না,
এত রক্ত, এত বেদন।

তবুও হাসে তুমি, বাংলার মুখ,
তবুও গায়ে আসে নতুন সুখ।
তুমি বাঁচতে চাও, তুমি বাঁচাতে চাও,
বাংলার মুখ, তুমি অমলিন।

তুমি তরুণ, তুমি নবীন,
তুমি আশা, তুমি প্রেরণা।
তুমি মুক্তির অগ্নিশিখা,
বাংলার মুখ, তুমি আমার সারা জীবন।
","The face of Bengal, the face of Bengal,
So much pain, so much sorrow.
So many tears, so much weeping,
So much blood, so much suffering.

Yet you smile, oh face of Bengal,
Still, new joy comes upon you.
You wish to live, you wish to save,
Face of Bengal, you are timeless.

You are youthful, you are new,
You are hope, you are inspiration.
You are the flame of freedom,
Face of Bengal, you are my entire life.
",Bengali
"Ami Sotto
",Shakti Chattopadhyay,"আমি সত্য
আমি সত্য, আমি সত্য
যার কাছে যাচ্ছি, তাঁকে বলছি,
আমার মনে যদি ওর খোঁজে আসো,
জানো আমি সত্য।
এটাই খোঁজ, আমি সত্য।
","I Am Truth
I am truth, I am truth
To whom I am going, I say,
If you come looking for him in my heart,
Know that I am truth.
This is the search, I am truth.
",Bengali
"Aaj Mukhore
","Nabaneeta Dev Sen
","আজ মুখরে
আজ মুখরে কেমন আছো?
আজ তো তোমার মুখে হাসি ফুটেছে।
বৃষ্টির পর সূর্য ওঠার মতো,
আকাশের নিচে তোমার মুখে হাসি,
আজ মুখরে কেমন আছো?
","Today on My Face
How are you today on my face?
Today, a smile has bloomed on your lips.
Like the sun rising after the rain,
Under the sky, your smile,
How are you today on my face?
",Bengali
"Jete Jete Dekha
","Rabindranath Tagore
","যেতে যেতে দেখা
যেতে যেতে দেখেছি
অদৃশ্য পথিকের কাছে এসে
মোর মনের নিকট,
আমি মৃদু মৃদু মনে মনে বলি।
একা একা চলতে গিয়ে
কত যে কথা বলি।
","While Going, I See
While going, I have seen
Coming near the invisible traveler
To my heart,
I softly speak in my mind.
Walking alone,
How many words I share.
",Bengali
"Madhusudaner Kotha
","Shakti Chattopadhyay
","মধুসূদনের কথা
এ এক অদ্ভুত চরিত্র, 
যিনি গদ্যে কবিতা লেখেন,
আর এক অন্ধকার রাতের পরে
সূর্যের মতো এসে ওঠেন।
সৃষ্টি ও ধ্বংসের যুদ্ধে 
তিনি আবার সৃষ্টি করেন,
মধুসূদন।
","The Tale of Madhusudan
A strange character this,
Who writes poetry in prose,
And rises like the sun
After a dark night.
In the war of creation and destruction,
He creates once again,
Madhusudan.
",Bengali
"Nirjharer Swapnobhango
",Rabindranath Tagore,"নিরঝরের স্বপ্নভঙ্গ
নিরঝর থেকে পাথরের গা বেয়ে
যখন স্রোত নেমে আসে
একটি স্বপ্ন এলোমেলো হয়ে যায়,
মেঘের করুণ ধ্বনি।
","The Dream of the Waterfall
From the waterfall, as the stream descends
Down the stone's surface,
A dream gets tangled,
The sorrowful sound of clouds.
",Bengali
"Shyama Sangeet
","Kazi Nazrul Islam
","শ্যামা সঙ্গীত
শ্যামা তুমি কোথা যাও?
আমার হৃদয়ের মন্দিরে,
তুমি যখন আস, তখন অশান্তি
বাঁধে মনের তটিনী।
","The Song of Shyama
Shyama, where do you go?
Into the temple of my heart,
When you come, chaos
Rests on the banks of my mind.
",Bengali
"Prothom Protibha
","Jibanananda Das
","প্রথম প্রতিভা
আমার হৃদয়ে প্রথম প্রতিভা,
নির্জন প্রান্তরে যেন আসে
সূর্যের প্রথম রশ্মির মতো,
আমার মনেতে ফোটে ফুল।
","First Reflection
The first reflection in my heart,
As if it comes to the desolate edge
Like the first rays of the sun,
A flower blooms in my mind.
",Bengali
"Jibone Ki Pabi
","Sukanta Bhattacharya
","জীবনে কি পাবি
জীবনে কি পাবি, কে জানে?
দূরে চলে গেছে সব আশার গান,
আমার মনেতে শূন্যতা।
কি পাবি? যন্ত্রণা, কি পাবি?
","What Shall I Gain in Life?
What shall I gain in life, who knows?
All songs of hope have gone far away,
There is emptiness in my heart.
What shall I gain? Pain, what shall I gain?
",Bengali
"Rupasi Bangla
","Rabindranath Tagore
","রূপসী বাংলা
রূপসী বাংলা, তোমার জন্যে
মোর প্রাণে সঙ্গীত বাজে,
তোমার পথে কৃষ্ণচূড়া,
লাল সুর্যোদয়ে, সবুজ গাছ।
","Beautiful Bengal
Beautiful Bengal, for you
Music plays in my heart,
On your path, the crimson blooms,
In the red sunrise, the green trees.
",Bengali
"Tomar Bina
","Jibanananda Das
","তোমার বিনা
তোমার বিনা আমার দিন কাটে
একা একা আলো ছাড়া।
তোমার বিনা জীবনের পথে
যায় এক শূন্যতা।
","Without You
Without you, my days pass
Alone, without light.
Without you, on the path of life,
There walks an emptiness.
",Bengali
"Moksha
","Nirendranath Chakrabarty
","মোক্ষ
মোক্ষ, একটি কথায়।
মুক্তির পথে অযুত পথ
যার অন্তে জন্মের শেষ।
তবে কেন, বলো,
এখনো এ বাঁচার আকুলতা।
","Liberation
Liberation, in one word.
On the path of freedom, countless roads
Whose end is the end of birth.
Then why, tell me,
This yearning to live still persists.
",Bengali
"Ekla Cholo Re
","Rabindranath Tagore
","একা চলো রে
যদি তোর ডাক শুনে কেউ না আসে,
তাহলে একা চলো রে।
যদি সবাই চলে যায়,
তাহলে একা চলো রে।
","Walk Alone
If no one comes to hear your call,
Then walk alone.
If everyone goes away,
Then walk alone.
",Bengali
"Ami Kothay Pabo Tare
","Sufi Shafique
","আমি কোথায় পাবো তাকে
আমি কোথায় পাবো তাকে,
দূরের এই স্বপ্নের মাঝে,
তার চোখে যে সব কিছু খুঁজে
আমি খুঁজছি আমি।
","Where Will I Find Her
Where will I find her,
In this distant dream,
In her eyes where everything hides,
I seek, I seek.
",Bengali
"Kagojer Phool
","Jibanananda Das
","কাগজের ফুল
কাগজের ফুল, তবুও
এমন সুন্দর, মনে হয়।
এটি স্বপ্নের মতো,
মোর মনের গভীরে।
","Paper Flower
A paper flower, yet
So beautiful, it seems.
Like a dream,
Deep in my heart.
",Bengali
"Harano Sur
","Jibanananda Das
","হারানো সুর
হারানো সুর, মনের গহনে
তুমি এসে ভরিয়ে দাও,
মোর শূন্যতা, অপার দূরত্বে
ভাসে তোমার ছায়া।
","Lost Tune
Lost tune, in the depths of my mind
You come and fill,
My emptiness, floating
In your shadow of infinite distance.
",Bengali
"Bishakha
","Jibanananda Das
","বিষাক্ষা
বিষাক্ষা, তোমার শিরায়
মাতাল মৃদঙ্গের তালে
নাচছে একটি মেঘের মতো
নিষ্প্রাণ বৃত্তে বৃত্ত।
","The Fluttering
Bishakha, in your veins
Dancing to the rhythm of a drunken drum,
Like a cloud
In a lifeless circle, fluttering.
",Bengali
"Muktodhara
","Kazi Nazrul Islam
","মুক্তধারা
মুক্তধারায় বয়ে চলে
স্বাধীনতার স্রোত,
চলছে যেন অন্ধকারের
মাঝে আলোর নিঃশ্বাস।
","The Flow of Liberation
In the flow of liberation,
The current of freedom flows,
Like a breath of light
Amidst the darkness.
",Bengali
Geetanjali,"Rabindranath Tagore
","তোমার সুরের কাছে এ প্রাণ  
আপন সুরের সারা দিন  
যে কথা বলেছে কানাকানি,  
তোমার পথে যেন সেগুলি থাকে লুকানো।  
","This frail vessel thou emptiest again and again,  
and fillest it ever with fresh life.  
This little flute of a reed  
thou hast carried over hills and dales,  
and hast breathed through it melodies eternally new.  
","Bengali
"
"Bodo Gwsing
","Bodo Bwisagu
","बोडो ग्वसिंग
बोडो ग्वसिंग, तुमार धुन
संगीत भरी गुथा,
मोर मनत ठोर ठोर
सपना गितार उठी।
","Bodo Song
Bodo Gwsing, your tune
Woven with music,
In my heart, every beat
Dreams rise like melodies.
","Bodo
"
"Phul Gwsing
","Rakesh Bodo
","फुल ग्वसिंग
फुल ग्वसिंग, तुमार सुगंध
मोन गुथा, हृदय भरि,
मोर सपना गितार
संगीत गुनगुन।
","Flower Song
Flower song, your fragrance
Weaves in my heart,
In my dreams,
Melodies hum.
","Bodo
"
"Kokrajhar
","Anil Bodo
","कोकराजहार
कोकराजहार, तुमार माटि
धुन शान्ति, मोर स्वप्न,
मोर हृदय माटित
जीवन बरजारी।
","Kokrajhar
Kokrajhar, your soil
Sings of peace, my dream,
In my heart’s earth
Life flows beautifully.
","Bodo
"
"Bodo Rakhang
","Kameswar Bodo
","बोडो राखंग
बोडो राखंग, तुमार पहिचान
संस्कृति, धरोहर, मोर गर्व,
मोर हृदयले गुनगुन
जन्मभूमि जिवित।
","Bodo Identity
Bodo Identity, your recognition
Culture, heritage, my pride,
In my heart, a hum
Of my birthplace alive.
","Bodo
"
"Gwsing Gwrwn
","Ranjana Bodo
","ग्वसिंग ग्वरण
ग्वसिंग ग्वरण, तुमार धुन
आत्मा, सृष्टि, मोर चित्त,
मोर हृदयले शांति
जीवन गुथा।
","Song of the Soul
Song of the soul, your melody
Spirit, creation, in my mind,
In my heart, there’s peace
Woven into life.
","Bodo
"
"Nwjw Bwisagu
","Bodo Bwisagu
","न्वज्व ब्विसागु
न्वज्व ब्विसागु, तुमार स्वागत
नতুন, स्वप्न, मोर हृदय,
जीवनले गुथा,
सपना गितार।
","New Beginnings
New beginnings, your welcome
New, dreams, in my heart,
Woven into life,
A melody of dreams.
","Bodo
"
"Dharma
","Rakesh Bodo
","धर्म
धर्म, तुमार मार्ग
जीवनले सिखावै,
मोर हृदयले बिचार
सत्य गुथा।
","Religion
Religion, your path
Teaches life,
In my heart, thoughts
Woven with truth.
","Bodo
"
"Bodo Jwrai
","Anil Bodo
","बोडो ज्व्राई
बोडो ज्व्राई, तुमार संस्कृति
धरोहर, मोर गर्व,
जीवनले गुथा,
इतिहास बरजारी।
","Bodo Heritage
Bodo heritage, your culture
Legacy, my pride,
Woven into life,
A history alive.
","Bodo
"
"Gwsing Bodo
","The Bodo Song
","ग्वसिंग बोडो
ग्वसिंग बोडो, तुमार गीत
हृदय भरी, आत्मा गुथा,
मोर संस्कृति जिवित
धुन बरजारी।
","The Bodo Song
The Bodo song, your melody
Fills my heart, woven into the soul,
My culture alive
In the vibrant tune.
","Bodo
"
Mera Pind,"Rajesh Bhatia
","मेरे पिंड
मेरे पिंड दी गलां
सुन सजना,
साडा रंगीला जिंदगानी,
चुन्नी तले सहेजा
सपना सारे।
","My Village
Talk of my village,
Listen, dear,
Our colorful life,
Stored beneath the veil,
All dreams together.
",Dogri
"Sukoon
","Anil Joshi
","सुकून
सुकून कहां है ओ सजना,
ज़िंदगी दे रस्ते विच
मिट्टी दे खुशबू दी तरह,
सावन दे बादलां वांग।
","Peace
Where is peace, dear?
On the paths of life,
Like the scent of soil,
Like the monsoon clouds.
",Dogri
"Bachha
","Ramesh Sharma
","बच्चा
बच्चा खेले मैदान विच,
हंसदा, नचदा, पिंड दे
रंग विच रंगदा,
सपना सारे सजे।
","The Child
The child plays in the field,
Laughing, dancing, painted
In the colors of the village,
With all dreams adorned.
",Dogri
"Chandna
","Gulshan Kumar
","चांदना
चांदना दी रौशनी
पिंड दे रुत विच,
सपने सजावे सजीले
रातां दी खामोशी।
","Moonlight
The moonlight’s glow
In the village’s season,
Adorning dreams
In the silence of the night.
",Dogri
"Jindagi
","Vidya Rani
","जिंदगी
जिंदगी दी कहाणी
उमीदां विच लिपटी,
हर मोड़ ते इक नवा सपना,
राह विच बणदा साथी।
","Life
The story of life
Wrapped in hopes,
At every turn, a new dream,
A companion on the path.
",Dogri
"Kashmir
","Shiv Kumar Sharma
","कश्मीर
कश्मीर दी वादियां
सपने लिपटीं, धुंध विच,
धरती दे जन्नत दी खुशबू
सांझी करे दिलां नाल।
","Kashmir
The valleys of Kashmir
Wrapped in dreams, in mist,
The scent of heaven on earth
Shared with hearts alike.
",Dogri
"Rangrez
","Sunil Bhat
","रंगरेज़
रंगरेज़ दी कला,
सपने रंगीले, पिंड दी गलियां,
धरती दे रंगां नाल,
जीवन सजावे सजीला।
","The Color Maker
The craft of the color maker,
Dreams painted bright, in village lanes,
With the hues of the earth,
Adorning life with beauty.
",Dogri
"Ghar
","Kamla Kuthiala
","घर
घर दी खुशबू
मिट्टी विच रची-बसी,
हर दीवार ते इक कहानी,
सपने सजदे, साये विच।
","Home
The fragrance of home
Woven into the soil,
Every wall tells a story,
Dreams blossoming in its shade.
",Dogri
"Jeevan
","Balbir K. Khatri
","जीवन
जीवन दी राह,
सपने बुनदी हौंसले नाल,
हर मोड़ ते इक नवा जोश,
रुकना तां है नहीं।
","Life
The path of life,
Weaving dreams with courage,
At every turn, a new zeal,
Stopping is not an option.
",Dogri
"Dharti
","Mohan Lal Sharma
","धरती
धरती दी गोद,
सदियां दी कहानी सुणावे,
धरती दे रंगां विच सजीले,
जीवन दे रंग।
","The Earth
The lap of the earth,
Telling tales of centuries,
Adorned with the colors of the soil,
The hues of life.
",Dogri
Mara Pranad,"Narmadashankar Dave
","मारा प्राणाद
मारा प्राणाद, सदा संग छे,
जीवन ना हर एक रंग छे।
आँखो मा सपना, दिल मा उमंग,
जीवन ना हर एक रंग छे।
","My Life
My life, always with me,
Every color of life.
In my eyes, dreams, in my heart, enthusiasm,
Every color of life.
",Gujarati
Sri Ramayana,"Tulsidas
","श्री रामचंद्र कृपालु भजु मन हरण भव भय दारुणं।
नव कंज लोचन कंज मुख कर कंज पद कंजारुणं॥

कन्दर्प अगणित अमित छवि नव नील नीरद सुन्दरं।
पट पीत मानहु तडित रूचि शुचि नौमि जनक सुतावरं॥
","O mind, sing the praises of compassionate Lord Ram, 
The one who dispels the terrible fear of worldly existence.
His eyes, face, hands, and feet resemble fresh lotuses, 
And His beauty surpasses countless Cupids.

He is as charming as a newly formed dark cloud, 
Clothed in yellow, like the lightning streak of purity,
I bow to Him, the noble son-in-law of King Janaka.
",Hindi
"Koshish Karna
","Firaq Gorakhpuri
","कोशिश करना,  
हौसला रखना,  
हर दर्द को सहना,  
मंज़िल तक पहुँचना।  
ज़िन्दगी की राहें,  
आसान नहीं होतीं,  
पर कोशिश करना,  
हर मोड़ पर लड़ना।  
","Keep trying,  
Have courage,  
Bear every pain,  
Reach the destination.  
The paths of life,  
Are not easy,  
But keep trying,  
Fight at every turn.
",Hindi
"Kya Hua
","Kamala Das
","क्या हुआ  
जो दिल टूट गया  
तुमने तो कहा था  
ज़िन्दगी यूं ही चलेगी  
आंसुओं का यह समंदर  
कभी थम न सकेगा  
क्या हुआ  
जो दिल टूट गया
","What happened  
When the heart broke  
You had said  
Life would go on  
This sea of tears  
Would never stop  
What happened  
When the heart broke
",Hindi
"Chitthi Aayi Hai
","Gulzar
","चिट्ठी आई है  
वतन से चिट्ठी आई है  
बड़े दिनों के बाद  
हम बेवतन को याद  
वतन की मिट्टी आई है  

आंखों में पानी लेकर  
हमने चिट्ठी खोली  
अपनी छत पर बैठा  
चांद हमने देखा  
चिट्ठी आई है  
वतन से चिट्ठी आई है
","A letter has arrived  
A letter from home has arrived  
After many days  
We, the exiled, remember  
The soil of our homeland has come  

With tears in our eyes  
We opened the letter  
From our rooftop  
We saw the moon  
A letter has arrived  
A letter from home has arrived
",Hindi
"Suno Ghar Ki Katha
","Gajanan Madhav Muktibodh
","सुनो घर की कथा
एक आँख का सपना
धड़कन भरी छाया
हाथ का हाथ
और कदम का कदम मिलाकर
बनता गया एक घर
छोटी-छोटी बातें
छोटी-छोटी बातों से बनता गया एक घर
सुनो घर की कथा
कदम का कदम मिलाकर
कदम से कदम मिलाकर
बनाते हैं एक घर
सुनो घर की कथा!
","Listen to the story of the house
A dream of one eye
A shadow filled with heartbeat
Hand in hand
Step in step
A house was built
Small, little things
With small, little things, a house was built
Listen to the story of the house
Step in step
Step by step
We build a house
Listen to the story of the house!
",Hindi
